TinhTrangBDS,PhongNgu,PhongTam,Loai,GiayTo,TinhTrangNoiThat,HuongCuaChinh,HuongBanCong,CanGoc,DienTich_m2,Gia,Quan,Gia_m2,TongPhong,DienTich_per_Phong,TyLe_Ngu_Tam,Log_Gia
 Chưa bàn giao,3.0,3.0,Loại Chung Cư, Giấy tờ khác,Thô,Khác,Khác,KXĐ,87.0,3.75,Quận Bình Thạnh,0.04310344827586207,6.0,21.75,0.75,1.55814461804655
 Đã bàn giao,1.0,1.0,Loại Chung Cư, Giấy tờ khác,Thô,Khác,Khác,KXĐ,38.0,1.5,Quận Bình Thạnh,0.039473684210526314,2.0,19.0,0.5,0.9162907318741551
 Đã bàn giao,2.0,2.0,Loại Chung Cư, Đang chờ sổ,Đầy đủ,Khác,Khác,KXĐ,79.25,4.6,Quận Phú Nhuận,0.05804416403785489,4.0,26.416666666666668,0.6666666666666666,1.7227665977411035
 Chưa bàn giao,2.0,2.0,Loại Chung Cư, Đang chờ sổ,Thô,Khác,Khác,KXĐ,75.0,2.5,Quận Bình Tân,0.03333333333333333,4.0,25.0,0.6666666666666666,1.252762968495368
 Đã bàn giao,2.0,2.0,Loại Chung Cư, Đang chờ sổ,Đầy đủ,Khác,Khác,KXĐ,68.0,1.62,Khác,0.02382352941176471,4.0,22.666666666666668,0.6666666666666666,0.9631743177730056
 Chưa bàn giao,1.0,1.0,Loại Chung Cư, Đang chờ sổ,Cơ bản,Khác,Khác,KXĐ,50.0,0.5,Huyện Nhà Bè,0.01,2.0,25.0,0.5,0.4054651081081644
 Đã bàn giao,2.0,2.0,Loại Chung Cư, Đã có sổ,Thô,Khác, Đông Nam,KXĐ,83.0,3.65,Quận Tân Bình,0.04397590361445783,4.0,27.666666666666668,0.6666666666666666,1.536867219599265
 Đã bàn giao,1.0,1.0,Loại Chung Cư, Giấy tờ khác,Thô,Khác,Khác,Phải,34.0,0.6,Quận Bình Tân,0.01764705882352941,2.0,17.0,0.5,0.4700036292457356
 Đã bàn giao,2.0,2.0,Loại Chung Cư, Đã có sổ,Thô,Khác,Khác,Phải,65.0,1.9,Quận Tân Phú,0.02923076923076923,4.0,21.666666666666668,0.6666666666666666,1.0647107369924282
 Đã bàn giao,2.0,2.0,Loại Chung Cư, Đang chờ sổ,Thô,Khác,Khác,Phải,63.0,1.18,Huyện Nhà Bè,0.01873015873015873,4.0,21.0,0.6666666666666666,0.7793248768009976
 Chưa bàn giao,1.0,1.0,Loại Chung Cư, Giấy tờ khác,Cơ bản,Khác,Khác,KXĐ,48.8,3.0,Huyện Nhà Bè,0.06147540983606558,2.0,24.4,0.5,1.3862943611198906
 Đã bàn giao,2.0,1.0,Loại Chung Cư, Đã có sổ,Thô,Khác,Khác,Phải,56.0,1.61,Thành phố Thủ Đức,0.02875,3.0,18.666666666666668,1.0,0.959350221334602
 Đã bàn giao,1.0,1.0,Loại Chung Cư, Giấy tờ khác,Thô,Khác,Khác,KXĐ,34.0,0.595,Quận Bình Tân,0.017499999999999998,2.0,17.0,0.5,0.4668737362368079
 Đã bàn giao,2.0,1.0,Loại Chung Cư, Giấy tờ khác,Thô,Khác, Đông,KXĐ,65.0,1.8,Khác,0.027692307692307693,3.0,21.666666666666668,1.0,1.0296194171811581
 Đã bàn giao,2.0,2.0,Loại Chung Cư, Đang chờ sổ,Cơ bản, Đông, Tây,KXĐ,68.0,1.6,Quận Bình Tân,0.023529411764705882,4.0,22.666666666666668,0.6666666666666666,0.9555114450274363
 Đã bàn giao,1.0,1.0,Loại Chung Cư, Đang chờ sổ,Cao cấp, Đông Nam, Tây Bắc,KXĐ,70.0,4.0,Quận Tân Bình,0.05714285714285714,2.0,35.0,0.5,1.6094379124341003
 Đã bàn giao,2.0,2.0,Loại Chung Cư, Đã có sổ,Cơ bản, Đông Nam, Đông,KXĐ,62.0,1.8,Thành phố Thủ Đức,0.02903225806451613,4.0,20.666666666666668,0.6666666666666666,1.0296194171811581
 Đã bàn giao,1.0,1.0,Loại Chung Cư, Giấy tờ khác,Thô,Khác,Khác,KXĐ,50.0,1.55,Huyện Bình Chánh,0.031,2.0,25.0,0.5,0.9360933591703349
 Đã bàn giao,2.0,2.0,Loại Chung Cư, Giấy tờ khác,Thô,Khác,Khác,KXĐ,71.0,2.57,Huyện Nhà Bè,0.036197183098591545,4.0,23.666666666666668,0.6666666666666666,1.2725655957915476
 Đã bàn giao,2.0,2.0,Loại Chung Cư, Giấy tờ khác,Thô,Khác, Nam,KXĐ,72.92,3.9,Quận Tân Bình,0.05348326933625891,4.0,24.30666666666667,0.6666666666666666,1.589235205116581
 Chưa bàn giao,2.0,1.0,Loại Chung Cư, Đang chờ sổ,Thô,Khác,Khác,KXĐ,53.0,1.205,Khác,0.022735849056603776,3.0,17.666666666666668,1.0,0.7907275088988094
 Đã bàn giao,2.0,2.0,Loại Chung Cư, Giấy tờ khác,Thô,Khác,Khác,KXĐ,72.0,2.12,Thành phố Thủ Đức,0.029444444444444447,4.0,24.0,0.6666666666666666,1.1378330018213911
 Đã bàn giao,2.0,2.0,Loại Chung Cư, Đang chờ sổ,Thô,Khác,Khác,KXĐ,71.0,3.01,Thành phố Thủ Đức,0.0423943661971831,4.0,23.666666666666668,0.6666666666666666,1.3887912413184778
 Đã bàn giao,3.0,2.0,Loại Chung Cư, Giấy tờ khác,Thô,Khác,Khác,KXĐ,89.0,4.05,Quận Bình Thạnh,0.045505617977528084,5.0,22.25,1.0,1.6193882432872684
 Đã bàn giao,2.0,2.0,Loại Chung Cư, Giấy tờ khác,Thô,Khác,Khác,KXĐ,66.0,3.38,Quận Bình Thạnh,0.05121212121212121,4.0,22.0,0.6666666666666666,1.4770487243883548
 Đã bàn giao,2.0,2.0,Loại Chung Cư, Đã có sổ,Cao cấp, Bắc, Nam,Phải,65.0,2.19,Khác,0.03369230769230769,4.0,21.666666666666668,0.6666666666666666,1.1600209167967532
 Đã bàn giao,2.0,2.0,Loại Chung Cư, Đang chờ sổ,Thô,Khác,Khác,KXĐ,73.0,3.0,Thành phố Thủ Đức,0.0410958904109589,4.0,24.333333333333332,0.6666666666666666,1.3862943611198906
 Đã bàn giao,2.0,2.0,Loại Chung Cư, Giấy tờ khác,Thô, Tây Bắc, Đông Nam,KXĐ,79.0,2.69,Quận Bình Tân,0.0340506329113924,4.0,26.333333333333332,0.6666666666666666,1.3056264580524357
 Đã bàn giao,2.0,2.0,Loại Chung Cư, Giấy tờ khác,Thô,Khác,Khác,KXĐ,66.0,3.5,Quận Bình Thạnh,0.05303030303030303,4.0,22.0,0.6666666666666666,1.5040773967762742
 Đã bàn giao,2.0,1.0,Loại Chung Cư, Đang chờ sổ,Đầy đủ, Đông Nam, Tây Bắc,KXĐ,68.0,2.65,Khác,0.03897058823529412,3.0,22.666666666666668,1.0,1.2947271675944
 Đã bàn giao,2.0,2.0,Loại Chung Cư, Đang chờ sổ,Đầy đủ, Nam, Bắc,KXĐ,64.0,3.3,Huyện Nhà Bè,0.0515625,4.0,21.333333333333332,0.6666666666666666,1.4586150226995167
 Đã bàn giao,2.0,2.0,Loại Chung Cư, Giấy tờ khác,Đầy đủ,Khác,Khác,KXĐ,98.0,6.2,Quận Phú Nhuận,0.06326530612244897,4.0,32.666666666666664,0.6666666666666666,1.9740810260220096
 Chưa bàn giao,2.0,1.0,Loại Chung Cư, Giấy tờ khác,Đầy đủ,Khác,Khác,Phải,50.0,1.68,Thành phố Thủ Đức,0.0336,3.0,16.666666666666668,1.0,0.9858167945227653
