TinhTrangBDS,PhongNgu,PhongTam,TinhTrangNoiThat,HuongCuaChinh,HuongBanCong,DienTich_m2,Gia,TongPhong,DienTich_per_Phong,TyLe_Ngu_Tam,Quan_Huyện Củ Chi,Quan_Huyện Hóc Môn,Quan_Huyện Nhà Bè,Quan_Khác,Quan_Quận Bình Thạnh,Quan_Quận Bình Tân,Quan_Quận Gò Vấp,Quan_Quận Phú Nhuận,Quan_Quận Tân Bình,Quan_Quận Tân Phú,Quan_Thành phố Thủ Đức,Loai_Loại Hạng Sang,Loai_Loại Tập Thể,Loai_Loại Văn Phòng,GiayTo_Đang chờ sổ,GiayTo_Đã có sổ,CanGoc_Phải
1,2.0,2.0,1,8,6,62.0,1.0296194171811581,4.0,20.666666666666668,0.6666666666666666,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False
1,1.0,1.0,2,1,1,50.0,0.9360933591703349,2.0,25.0,0.5,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1,2.0,2.0,2,1,1,71.0,1.2725655957915476,4.0,23.666666666666668,0.6666666666666666,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1,2.0,2.0,2,1,2,72.92,1.589235205116581,4.0,24.30666666666667,0.6666666666666666,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
0,2.0,1.0,2,1,1,53.0,0.7907275088988094,3.0,17.666666666666668,1.0,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False
1,2.0,2.0,2,1,1,72.0,1.1378330018213911,4.0,24.0,0.6666666666666666,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
1,2.0,2.0,2,1,1,71.0,1.3887912413184778,4.0,23.666666666666668,0.6666666666666666,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False
1,3.0,2.0,2,1,1,89.0,1.6193882432872684,5.0,22.25,1.0,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
1,2.0,2.0,2,1,1,66.0,1.4770487243883548,4.0,22.0,0.6666666666666666,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
1,2.0,2.0,0,0,2,65.0,1.1600209167967532,4.0,21.666666666666668,0.6666666666666666,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,True
1,2.0,2.0,2,1,1,73.0,1.3862943611198906,4.0,24.333333333333332,0.6666666666666666,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False
1,2.0,2.0,2,4,8,79.0,1.3056264580524357,4.0,26.333333333333332,0.6666666666666666,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
1,2.0,2.0,2,1,1,66.0,1.5040773967762742,4.0,22.0,0.6666666666666666,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
1,2.0,1.0,3,8,4,68.0,1.2947271675944,3.0,22.666666666666668,1.0,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False
1,2.0,2.0,3,2,0,64.0,1.4586150226995167,4.0,21.333333333333332,0.6666666666666666,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False
1,2.0,2.0,3,1,1,98.0,1.9740810260220096,4.0,32.666666666666664,0.6666666666666666,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
0,2.0,1.0,3,1,1,50.0,0.9858167945227653,3.0,16.666666666666668,1.0,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True
0,1.0,1.0,2,1,1,49.0,1.0612565021243408,2.0,24.5,0.5,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
1,1.0,1.0,2,8,4,53.0,1.208960345836975,2.0,26.5,0.5,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
1,1.0,1.0,2,1,1,59.0,0.9745596399981308,2.0,29.5,0.5,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
0,2.0,1.0,2,1,1,56.0,1.1314021114911006,3.0,18.666666666666668,1.0,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
1,2.0,1.0,3,2,3,56.0,1.3056264580524357,3.0,18.666666666666668,1.0,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False
1,2.0,2.0,1,7,5,60.45,0.9895411936137477,4.0,20.150000000000002,0.6666666666666666,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False
1,3.0,2.0,0,2,7,83.6,1.5686159179138452,5.0,20.9,1.0,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False
1,2.0,2.0,0,7,5,73.6,1.5789787049493917,4.0,24.53333333333333,0.6666666666666666,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False
1,2.0,2.0,2,1,1,71.42,1.3837912309017721,4.0,23.80666666666667,0.6666666666666666,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
0,1.0,1.0,2,1,1,46.0,1.2143190963800803,2.0,23.0,0.5,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
1,2.0,2.0,2,1,1,79.0,1.0296194171811581,4.0,26.333333333333332,0.6666666666666666,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False
1,2.0,2.0,1,1,1,72.0,1.4469189829363254,4.0,24.0,0.6666666666666666,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False
1,2.0,2.0,0,3,6,80.0,1.7047480922384253,4.0,26.666666666666668,0.6666666666666666,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False
1,1.0,1.0,2,1,1,38.0,0.9932517730102833,2.0,19.0,0.5,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
0,2.0,2.0,0,6,3,46.0,0.36603103886275734,4.0,15.333333333333334,0.6666666666666666,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,True
1,1.0,1.0,2,1,1,48.5,1.1474024528375417,2.0,24.25,0.5,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False
1,3.0,2.0,2,1,1,86.0,1.667706820558076,5.0,21.5,1.0,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
0,1.0,1.0,2,1,1,52.0,0.9764446546939022,2.0,26.0,0.5,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False
